wilgotnosc,temperatura,godzina,dzientyg,dzienmsc,miesiac,rok
32,26,11:50,Piatek,10,12,2021
32,26,12:21,Piatek,10,12,2021
33,25,12:51,Piatek,10,12,2021
33,25,13:21,Piatek,10,12,2021
34,25,13:51,Piatek,10,12,2021
33,26,16:21,Piatek,10,12,2021
30,27,16:51,Piatek,10,12,2021
32,26,17:21,Piatek,10,12,2021
32,26,17:51,Piatek,10,12,2021
32,25,18:21,Piatek,10,12,2021
36,25,18:52,Piatek,10,12,2021
37,24,19:22,Piatek,10,12,2021
36,25,19:52,Piatek,10,12,2021
37,25,20:22,Piatek,10,12,2021
40,25,20:52,Piatek,10,12,2021
39,25,21:22,Piatek,10,12,2021
39,25,21:52,Piatek,10,12,2021
37,25,22:22,Piatek,10,12,2021
51,25,22:52,Piatek,10,12,2021
37,25,23:22,Piatek,10,12,2021
36,25,23:52,Piatek,10,12,2021
35,25,14:07,Sobota,11,12,2021
34,25,14:38,Sobota,11,12,2021
33,25,15:08,Sobota,11,12,2021
33,25,15:38,Sobota,11,12,2021
33,25,16:08,Sobota,11,12,2021
34,25,16:38,Sobota,11,12,2021
34,25,17:08,Sobota,11,12,2021
34,25,17:38,Sobota,11,12,2021
35,25,18:08,Sobota,11,12,2021
36,25,18:38,Sobota,11,12,2021
36,25,19:08,Sobota,11,12,2021
36,25,19:38,Sobota,11,12,2021
36,25,20:08,Sobota,11,12,2021
36,25,20:38,Sobota,11,12,2021
36,24,21:08,Sobota,11,12,2021
36,24,21:38,Sobota,11,12,2021
36,24,22:08,Sobota,11,12,2021
36,24,22:39,Sobota,11,12,2021
36,24,23:09,Sobota,11,12,2021
36,24,23:39,Sobota,11,12,2021
36,24,00:09,Niedziela,12,12,2021
36,24,00:39,Niedziela,12,12,2021
35,24,01:09,Niedziela,12,12,2021
35,24,01:39,Niedziela,12,12,2021
36,24,02:09,Niedziela,12,12,2021
36,24,02:39,Niedziela,12,12,2021
35,24,03:09,Niedziela,12,12,2021
35,24,03:39,Niedziela,12,12,2021
35,24,04:09,Niedziela,12,12,2021
35,24,04:39,Niedziela,12,12,2021
36,24,05:09,Niedziela,12,12,2021
36,24,05:39,Niedziela,12,12,2021
35,24,06:09,Niedziela,12,12,2021
36,24,06:39,Niedziela,12,12,2021
35,24,07:09,Niedziela,12,12,2021
35,24,07:40,Niedziela,12,12,2021
35,24,08:10,Niedziela,12,12,2021
35,24,08:40,Niedziela,12,12,2021
35,24,09:10,Niedziela,12,12,2021
35,25,09:40,Niedziela,12,12,2021
35,25,10:10,Niedziela,12,12,2021
35,24,10:40,Niedziela,12,12,2021
35,25,11:10,Niedziela,12,12,2021
35,25,11:40,Niedziela,12,12,2021
35,25,12:10,Niedziela,12,12,2021
35,25,12:40,Niedziela,12,12,2021
35,25,13:10,Niedziela,12,12,2021
34,25,13:40,Niedziela,12,12,2021
34,25,14:11,Niedziela,12,12,2021
35,25,14:41,Niedziela,12,12,2021
35,25,15:11,Niedziela,12,12,2021
34,25,15:41,Niedziela,12,12,2021
34,25,16:11,Niedziela,12,12,2021
34,25,16:41,Niedziela,12,12,2021
34,25,17:11,Niedziela,12,12,2021
34,25,17:41,Niedziela,12,12,2021
35,25,18:11,Niedziela,12,12,2021
35,25,18:41,Niedziela,12,12,2021
35,26,19:11,Niedziela,12,12,2021
35,26,19:41,Niedziela,12,12,2021
34,26,20:11,Niedziela,12,12,2021
34,25,20:41,Niedziela,12,12,2021
33,25,21:11,Niedziela,12,12,2021
33,25,21:41,Niedziela,12,12,2021
33,25,22:11,Niedziela,12,12,2021
34,25,22:42,Niedziela,12,12,2021
34,25,23:12,Niedziela,12,12,2021
35,25,23:42,Niedziela,12,12,2021
35,25,00:12,Poniedzialek,13,12,2021
32,25,12:40,Poniedzialek,13,12,2021
33,25,13:10,Poniedzialek,13,12,2021
33,27,15:10,Poniedzialek,13,12,2021
34,26,15:41,Poniedzialek,13,12,2021
34,26,16:11,Poniedzialek,13,12,2021
34,26,16:41,Poniedzialek,13,12,2021
34,26,17:11,Poniedzialek,13,12,2021
34,26,17:41,Poniedzialek,13,12,2021
35,26,18:11,Poniedzialek,13,12,2021
34,26,18:41,Poniedzialek,13,12,2021
33,26,19:12,Poniedzialek,13,12,2021
34,26,19:42,Poniedzialek,13,12,2021
31,26,20:12,Poniedzialek,13,12,2021
29,26,20:42,Poniedzialek,13,12,2021
27,26,21:12,Poniedzialek,13,12,2021
38,26,15:22,Sroda,15,12,2021
38,26,15:52,Sroda,15,12,2021
39,26,16:22,Sroda,15,12,2021
28,26,13:33,Sroda,12,1,2022
28,27,14:03,Sroda,12,1,2022
27,27,15:01,Sroda,12,1,2022
27,27,15:31,Sroda,12,1,2022
29,28,16:47,Sroda,12,1,2022
26,27,17:17,Sroda,12,1,2022
30,27,17:47,Sroda,12,1,2022
33,27,18:17,Sroda,12,1,2022
41,27,18:47,Sroda,12,1,2022
30,27,14:19,Czwartek,13,1,2022
32,26,14:49,Czwartek,13,1,2022
43,26,15:19,Czwartek,13,1,2022
42,26,15:49,Czwartek,13,1,2022
44,25,16:19,Czwartek,13,1,2022
43,25,16:49,Czwartek,13,1,2022
48,25,17:19,Czwartek,13,1,2022
49,26,17:49,Czwartek,13,1,2022
48,26,18:19,Czwartek,13,1,2022
47,26,18:49,Czwartek,13,1,2022
44,26,19:19,Czwartek,13,1,2022
57,26,11:54,Poniedzialek,17,1,2022
32,27,12:24,Poniedzialek,17,1,2022
33,26,12:54,Poniedzialek,17,1,2022
33,27,13:24,Poniedzialek,17,1,2022
33,27,13:54,Poniedzialek,17,1,2022
31,27,14:24,Poniedzialek,17,1,2022
30,27,14:54,Poniedzialek,17,1,2022
32,27,15:24,Poniedzialek,17,1,2022
32,27,15:54,Poniedzialek,17,1,2022
32,27,16:24,Poniedzialek,17,1,2022
33,27,16:54,Poniedzialek,17,1,2022
33,27,17:24,Poniedzialek,17,1,2022
33,27,17:54,Poniedzialek,17,1,2022
33,27,18:24,Poniedzialek,17,1,2022
33,27,18:54,Poniedzialek,17,1,2022
47,26,19:24,Poniedzialek,17,1,2022
31,25,13:05,Wtorek,18,1,2022
33,25,13:36,Wtorek,18,1,2022
33,25,14:06,Wtorek,18,1,2022
33,25,14:36,Wtorek,18,1,2022
33,25,15:06,Wtorek,18,1,2022
33,25,15:36,Wtorek,18,1,2022
33,25,16:06,Wtorek,18,1,2022
32,25,16:36,Wtorek,18,1,2022
33,25,17:06,Wtorek,18,1,2022
33,25,17:36,Wtorek,18,1,2022
35,25,20:39,Czwartek,20,1,2022
36,26,21:09,Czwartek,20,1,2022
37,26,22:08,Czwartek,03,2,2022
36,25,22:38,Czwartek,03,2,2022
62,18,09:25,Piatek,04,2,2022
63,18,09:55,Piatek,04,2,2022
56,20,10:25,Piatek,04,2,2022
55,19,10:55,Piatek,04,2,2022
